com.samsung.shealth.tracker.pedometer_day_summary,6156001,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
12737,e8a9e6c3-1ce5-49eb-9eb8-ddff6c34aa0d.binning_data.json,7313280,6000,13,2018-05-31 22:00:03.238,com.sec.android.app.shealth,2018-05-31 22:00:03.238,,1.8959643,9331.0,532.06,12724,ekw9bqx6s/,com.sec.android.app.shealth,4400,e8a9e6c3-1ce5-49eb-9eb8-ddff6c34aa0d.achievement.json,e8a9e6c3-1ce5-49eb-9eb8-ddff6c34aa0d,1527724800000,
11019,1b02bad4-bab2-475f-80a8-08dc41124835.binning_data.json,6042807,6000,0,2018-05-24 21:06:37.596,com.sec.android.app.shealth,2018-05-24 07:49:00.351,1b02bad4-bab2-475f-80a8-08dc41124835.source_info.json,1.3888612,8392.62,448.42,11019,VfS0qUERdZ,com.sec.android.app.shealth,0,1b02bad4-bab2-475f-80a8-08dc41124835.achievement.json,1b02bad4-bab2-475f-80a8-08dc41124835,1527120000000,
85,e4c0c59f-d5c9-4dfb-afeb-8f7035418948.binning_data.json,54564,6000,0,2018-05-19 17:25:03.496,com.sec.android.app.shealth,2018-05-19 08:55:01.531,e4c0c59f-d5c9-4dfb-afeb-8f7035418948.source_info.json,1.1606457,63.329998,3.4,85,VfS0qUERdZ,com.sec.android.app.shealth,0,e4c0c59f-d5c9-4dfb-afeb-8f7035418948.achievement.json,e4c0c59f-d5c9-4dfb-afeb-8f7035418948,1526688000000,
19475,b29f3889-1e6c-4ce1-9e45-37bafcf3c383.binning_data.json,11834112,6000,0,2018-06-05 22:00:04.273,com.sec.android.app.shealth,2018-06-03 22:00:03.693,,1.6279918,14244.37,819.01996,19475,ekw9bqx6s/,com.sec.android.app.shealth,5138,b29f3889-1e6c-4ce1-9e45-37bafcf3c383.achievement.json,b29f3889-1e6c-4ce1-9e45-37bafcf3c383,1527984000000,
17451,3d6c7176-0635-449a-b9e9-1b47beabb9a2.binning_data.json,10668872,6000,0,2018-05-27 22:00:03.381,com.sec.android.app.shealth,2018-05-27 22:00:03.381,,1.7222222,12924.319,708.54987,17451,ekw9bqx6s/,com.sec.android.app.shealth,4911,3d6c7176-0635-449a-b9e9-1b47beabb9a2.achievement.json,3d6c7176-0635-449a-b9e9-1b47beabb9a2,1527379200000,
8955,7e7d9840-536a-48ea-b5dc-fc203c323943.binning_data.json,4988669,6000,5,2018-05-23 19:51:15.642,com.sec.android.app.shealth,2018-05-23 08:55:01.557,7e7d9840-536a-48ea-b5dc-fc203c323943.source_info.json,1.360407,6786.62,368.14,8950,VfS0qUERdZ,com.sec.android.app.shealth,0,7e7d9840-536a-48ea-b5dc-fc203c323943.achievement.json,7e7d9840-536a-48ea-b5dc-fc203c323943,1527033600000,
8186,67832a14-d836-41a3-bec5-ed2e20b675dc.binning_data.json,4631727,6000,1,2018-05-30 22:00:02.423,com.sec.android.app.shealth,2018-05-30 22:00:02.423,,1.9444443,5860.56,352.38998,8185,ekw9bqx6s/,com.sec.android.app.shealth,4909,67832a14-d836-41a3-bec5-ed2e20b675dc.achievement.json,67832a14-d836-41a3-bec5-ed2e20b675dc,1527638400000,
6453,25e580e3-1763-49e3-84df-abe4e571fca4.binning_data.json,3396116,6000,0,2018-05-22 15:15:38.030,com.sec.android.app.shealth,2018-05-22 08:35:01.787,25e580e3-1763-49e3-84df-abe4e571fca4.source_info.json,1.4495792,4922.94,265.91998,6453,VfS0qUERdZ,com.sec.android.app.shealth,0,25e580e3-1763-49e3-84df-abe4e571fca4.achievement.json,25e580e3-1763-49e3-84df-abe4e571fca4,1526947200000,
6565,c8fd9239-2b77-45e4-bf5f-1aa0b2b7c067.binning_data.json,3641751,6000,0,2018-06-06 22:00:05.718,com.sec.android.app.shealth,2018-06-06 22:00:05.718,,1.4722223,4990.13,267.42,6565,ekw9bqx6s/,com.sec.android.app.shealth,3558,c8fd9239-2b77-45e4-bf5f-1aa0b2b7c067.achievement.json,c8fd9239-2b77-45e4-bf5f-1aa0b2b7c067,1528243200000,
18877,589968d6-556b-4f90-8317-28031dd11915.binning_data.json,10984900,6000,19,2018-05-26 21:55:01.859,com.sec.android.app.shealth,2018-05-26 06:08:35.107,589968d6-556b-4f90-8317-28031dd11915.source_info.json,1.297237,14250.019,763.35986,18858,VfS0qUERdZ,com.sec.android.app.shealth,0,589968d6-556b-4f90-8317-28031dd11915.achievement.json,589968d6-556b-4f90-8317-28031dd11915,1527292800000,
7120,23709309-5ae3-4728-9bc0-925430ddf2b0.binning_data.json,4182188,6000,0,2018-06-02 22:00:02.302,com.sec.android.app.shealth,2018-06-02 22:00:02.302,,2.0000002,5367.6597,288.06998,7120,ekw9bqx6s/,com.sec.android.app.shealth,1005,23709309-5ae3-4728-9bc0-925430ddf2b0.achievement.json,23709309-5ae3-4728-9bc0-925430ddf2b0,1527897600000,
4184,cfb89b42-bfd0-4dcd-90ef-4a65fcc17bda.binning_data.json,2380759,6000,0,2018-06-09 22:00:03.611,com.sec.android.app.shealth,2018-06-09 22:00:03.611,,1.4500002,3194.56,167.45,4184,ekw9bqx6s/,com.sec.android.app.shealth,3427,cfb89b42-bfd0-4dcd-90ef-4a65fcc17bda.achievement.json,cfb89b42-bfd0-4dcd-90ef-4a65fcc17bda,1528502400000,
9350,85a4e003-b8f0-4967-99de-cba2eea87e22.binning_data.json,5215498,6000,11,2018-05-29 20:22:21.011,com.sec.android.app.shealth,2018-05-29 05:34:06.095,85a4e003-b8f0-4967-99de-cba2eea87e22.source_info.json,1.2988154,6773.97,398.2,9339,VfS0qUERdZ,com.sec.android.app.shealth,0,85a4e003-b8f0-4967-99de-cba2eea87e22.achievement.json,85a4e003-b8f0-4967-99de-cba2eea87e22,1527552000000,
7869,dfa04616-5cb7-4175-8557-2e2617cb978f.binning_data.json,4624533,6000,0,2018-06-05 22:00:04.121,com.sec.android.app.shealth,2018-06-05 22:00:04.121,,1.5,5934.65,316.5,7869,ekw9bqx6s/,com.sec.android.app.shealth,1224,dfa04616-5cb7-4175-8557-2e2617cb978f.achievement.json,dfa04616-5cb7-4175-8557-2e2617cb978f,1528156800000,
15,a5405146-ac39-463e-9731-37fe547ced3a.binning_data.json,9834,6000,0,2018-06-12 22:06:01.828,com.sec.android.app.shealth,2018-06-12 22:06:01.828,,1.1388888,11.2,0.6,15,ekw9bqx6s/,com.sec.android.app.shealth,0,a5405146-ac39-463e-9731-37fe547ced3a.achievement.json,a5405146-ac39-463e-9731-37fe547ced3a,1528761600000,
